"","datetime","city","country","shape"
"49010",2020-05-24,"chilliwack (canada)","ca","triangle"
"40666",2020-04-14,"hayward","us","triangle"
"81522",2020-09-01,"crestone","us","triangle"
"32763",2020-02-05,"raleigh","us","triangle"
"50257",2019-05-03,"freeport","us","triangle"
"43372",2020-04-25,"watertown","us","unknown"
"29668",2020-02-15,"the woodlands","us","unknown"
"85577",2019-09-24,"maple valley","us",NA
"52417",2019-06-01,"john&#39s island/james island",NA,"oval"
"86899",2020-09-29,"medford","us","other"
"48810",2020-05-23,"orange beach","us","light"
"61316",2019-07-01,"milton","us","light"
"81323",2019-09-01,"bothell","us","formation"
"41718",2020-04-18,"delano","us","triangle"
"29737",2020-02-15,"yellowstone national park",NA,"light"
"2924",2020-10-17,"hagerstown","us","disk"
"68754",2020-07-04,"hutchinson","us","fireball"
"70891",2019-07-09,"seabeck","us","other"
"53541",2020-06-13,"formosa","us","other"
"75557",2020-08-20,"mount vernon","us","circle"
"21862",2020-12-02,"albuquerque","us","flash"
"70017",2020-07-06,"sacramento","us","sphere"
"80106",2020-08-08,"keansburg","us","circle"
"68345",2020-07-03,"louisville","us","light"
"9013",2019-11-01,"lowell","us","light"
"62438",2020-07-13,"eastvale",NA,"light"
"51041",2019-05-07,"talladega (super speedway)","us","rectangle"
"45473",2020-04-09,"altoona","us","chevron"
"41252",2020-04-16,"nashua","us","disk"
"70263",2020-07-06,"indianapolis","us","formation"
"25275",2020-01-25,"orlando","us","other"
"24839",2020-01-24,"houston","us","rectangle"
"80377",2020-08-09,"liverpool (uk/england)","gb","sphere"
"56982",2020-06-23,"mcveytown","us","cigar"
"67885",2020-07-31,"denver","us","light"
"139",2020-10-10,"mahwah","us","triangle"
"1466",2020-10-13,"omaha","us","light"
"48078",2020-05-20,"viola","us","cigar"
"23226",2019-12-28,"atkinson (6 miles north of)","us","disk"
"72153",2020-08-01,"berwyn","us","light"
"9482",2020-01-11,"fort morgan","us","light"
"18434",2020-01-19,"branford","us","light"
"3648",2020-10-20,"fayetteville","us","light"
"16017",2020-11-04,"chicago","us","light"
"1612",2019-10-14,"bettendorf",NA,"other"
"65274",2019-07-02,"plantation","us","oval"
"66635",2020-07-26,"fulton","us","sphere"
"72253",2020-08-01,"moorpark","us","sphere"
"7449",2020-10-06,"lubbock","us","sphere"
"28740",2020-02-01,"santa maria","us","sphere"
"36567",2020-03-02,"middlesex","us","teardrop"
"1726",2020-10-14,"earp","us","unknown"
